dataset,trial,alpha,beta,epoch,loss,val_accuracy
cifar10,1,0.3,0.4,1,2.2981,0.1501
cifar10,1,0.3,0.4,2,2.292,0.141
cifar10,1,0.3,0.4,3,2.2891,0.1337
cifar10,1,0.3,0.4,4,2.2862,0.1329
cifar10,1,0.3,0.4,5,2.2834,0.1363
cifar10,1,0.3,0.4,6,2.28,0.1408
cifar10,1,0.3,0.4,7,2.2769,0.1461
cifar10,1,0.3,0.4,8,2.2734,0.1506
cifar10,1,0.3,0.4,9,2.2695,0.155
cifar10,1,0.3,0.4,10,2.2654,0.1578
cifar10,1,0.3,0.4,11,2.2627,0.1601
cifar10,1,0.3,0.4,12,2.2587,0.1633
cifar10,1,0.3,0.4,13,2.2548,0.1643
cifar10,1,0.3,0.4,14,2.2506,0.1648
cifar10,1,0.3,0.4,15,2.2467,0.1667
cifar10,1,0.3,0.4,16,2.2424,0.1702
cifar10,1,0.3,0.4,17,2.2376,0.1746
cifar10,1,0.3,0.4,18,2.2333,0.1796
cifar10,1,0.3,0.4,19,2.2283,0.1842
cifar10,1,0.3,0.4,20,2.2237,0.1895
cifar10,1,0.3,0.4,21,2.2192,0.1947
cifar10,1,0.3,0.4,22,2.2134,0.1996
cifar10,1,0.3,0.4,23,2.2088,0.2025
cifar10,1,0.3,0.4,24,2.2033,0.2065
cifar10,1,0.3,0.4,25,2.1977,0.2124
cifar10,1,0.3,0.4,26,2.1926,0.2166
cifar10,1,0.3,0.4,27,2.1863,0.2207
cifar10,1,0.3,0.4,28,2.1801,0.2242
cifar10,1,0.3,0.4,29,2.1755,0.2265
cifar10,1,0.3,0.4,30,2.1682,0.2292
cifar10,1,0.3,0.4,31,2.1643,0.2315
cifar10,1,0.3,0.4,32,2.157,0.2328
cifar10,1,0.3,0.4,33,2.1514,0.235
cifar10,1,0.3,0.4,34,2.1453,0.2372
cifar10,1,0.3,0.4,35,2.1392,0.239
cifar10,1,0.3,0.4,36,2.133,0.2402
cifar10,1,0.3,0.4,37,2.1274,0.2422
cifar10,1,0.3,0.4,38,2.1234,0.2477
cifar10,1,0.3,0.4,39,2.1159,0.2491
cifar10,1,0.3,0.4,40,2.1113,0.2531
cifar10,1,0.3,0.4,41,2.1045,0.2561
cifar10,1,0.3,0.4,42,2.1009,0.2589
cifar10,1,0.3,0.4,43,2.0942,0.2624
cifar10,1,0.3,0.4,44,2.09,0.266
cifar10,1,0.3,0.4,45,2.0843,0.2681
cifar10,1,0.3,0.4,46,2.0811,0.2714
cifar10,1,0.3,0.4,47,2.0768,0.2737
cifar10,1,0.3,0.4,48,2.0712,0.2761
cifar10,1,0.3,0.4,49,2.0664,0.2766
cifar10,1,0.3,0.4,50,2.0616,0.2778
cifar10,1,0.3,0.4,51,2.0589,0.2799
cifar10,1,0.3,0.4,52,2.0552,0.2816
cifar10,1,0.3,0.4,53,2.0518,0.2833
cifar10,1,0.3,0.4,54,2.0497,0.2853
cifar10,1,0.3,0.4,55,2.0465,0.2857
cifar10,1,0.3,0.4,56,2.0438,0.2843
cifar10,1,0.3,0.4,57,2.0394,0.2851
cifar10,1,0.3,0.4,58,2.0402,0.287
cifar10,1,0.3,0.4,59,2.0363,0.288
cifar10,1,0.3,0.4,60,2.0345,0.2898
cifar10,1,0.3,0.4,61,2.0302,0.2915
cifar10,1,0.3,0.4,62,2.028,0.291
cifar10,1,0.3,0.4,63,2.0268,0.292
cifar10,1,0.3,0.4,64,2.0246,0.2907
cifar10,1,0.3,0.4,65,2.0239,0.2912
cifar10,1,0.3,0.4,66,2.024,0.2933
cifar10,1,0.3,0.4,67,2.0213,0.2939
cifar10,1,0.3,0.4,68,2.022,0.2944
cifar10,1,0.3,0.4,69,2.0198,0.2942
cifar10,1,0.3,0.4,70,2.0166,0.295
cifar10,1,0.3,0.4,71,2.0185,0.2957
cifar10,1,0.3,0.4,72,2.0146,0.2966
cifar10,1,0.3,0.4,73,2.0154,0.2982
cifar10,1,0.3,0.4,74,2.0156,0.2983
cifar10,1,0.3,0.4,75,2.0117,0.2974
cifar10,1,0.3,0.4,76,2.0128,0.297
cifar10,1,0.3,0.4,77,2.0111,0.2977
cifar10,1,0.3,0.4,78,2.0071,0.2982
cifar10,1,0.3,0.4,79,2.012,0.2992
cifar10,1,0.3,0.4,80,2.0068,0.2991
cifar10,1,0.3,0.4,81,2.0088,0.3004
cifar10,1,0.3,0.4,82,2.0081,0.3009
cifar10,1,0.3,0.4,83,2.0021,0.3012
cifar10,1,0.3,0.4,84,2.0092,0.3026
cifar10,1,0.3,0.4,85,2.0068,0.3036
cifar10,1,0.3,0.4,86,2.0025,0.3028
cifar10,1,0.3,0.4,87,2.0031,0.3035
cifar10,1,0.3,0.4,88,1.9971,0.3036
cifar10,1,0.3,0.4,89,2.0025,0.304
cifar10,1,0.3,0.4,90,2.0033,0.3044
cifar10,1,0.3,0.4,91,2.0011,0.3046
cifar10,1,0.3,0.4,92,1.9985,0.3054
cifar10,1,0.3,0.4,93,1.9985,0.3053
cifar10,1,0.3,0.4,94,1.997,0.3041
cifar10,1,0.3,0.4,95,1.9978,0.304
cifar10,1,0.3,0.4,96,1.9926,0.3051
cifar10,1,0.3,0.4,97,1.9943,0.3051
cifar10,1,0.3,0.4,98,1.9941,0.3062
cifar10,1,0.3,0.4,99,1.9917,0.3065
cifar10,1,0.3,0.4,100,1.9923,0.3068
cifar10,1,0.3,0.4,101,1.9889,0.3073
cifar10,1,0.3,0.4,102,1.9906,0.307
