dataset,trial,alpha,beta,epoch,loss,val_accuracy
mnist,1,1.0,0.3,1,2.3734,0.7264
mnist,1,1.0,0.3,2,0.8862,0.8498
mnist,1,1.0,0.3,3,0.5269,0.9008
mnist,1,1.0,0.3,4,0.4048,0.9229
mnist,1,1.0,0.3,5,0.3403,0.9315
mnist,1,1.0,0.3,6,0.3062,0.939
mnist,1,1.0,0.3,7,0.2795,0.9422
mnist,1,1.0,0.3,8,0.2643,0.9452
mnist,1,1.0,0.3,9,0.251,0.9467
mnist,1,1.0,0.3,10,0.2413,0.9488
mnist,1,1.0,0.3,11,0.2302,0.9519
mnist,1,1.0,0.3,12,0.2232,0.9537
mnist,1,1.0,0.3,13,0.2171,0.9552
mnist,1,1.0,0.3,14,0.2095,0.956
mnist,1,1.0,0.3,15,0.2062,0.957
mnist,1,1.0,0.3,16,0.1982,0.9576
mnist,1,1.0,0.3,17,0.1939,0.9586
mnist,1,1.0,0.3,18,0.1868,0.96
mnist,1,1.0,0.3,19,0.1845,0.9612
mnist,1,1.0,0.3,20,0.1795,0.9618
mnist,1,1.0,0.3,21,0.1749,0.9625
mnist,1,1.0,0.3,22,0.173,0.9627
mnist,1,1.0,0.3,23,0.1693,0.9639
mnist,1,1.0,0.3,24,0.1678,0.9643
mnist,1,1.0,0.3,25,0.163,0.9645
mnist,1,1.0,0.3,26,0.1602,0.9649
mnist,1,1.0,0.3,27,0.1569,0.9648
mnist,1,1.0,0.3,28,0.155,0.9656
mnist,1,1.0,0.3,29,0.154,0.9659
mnist,1,1.0,0.3,30,0.1498,0.9667
mnist,1,1.0,0.3,31,0.1472,0.9665
mnist,1,1.0,0.3,32,0.1453,0.9672
mnist,1,1.0,0.3,33,0.1426,0.9678
mnist,1,1.0,0.3,34,0.1411,0.9679
mnist,1,1.0,0.3,35,0.1373,0.968
mnist,1,1.0,0.3,36,0.1366,0.9683
mnist,1,1.0,0.3,37,0.1359,0.9688
mnist,1,1.0,0.3,38,0.131,0.9691
mnist,1,1.0,0.3,39,0.1323,0.9697
mnist,1,1.0,0.3,40,0.1287,0.9703
mnist,1,1.0,0.3,41,0.1277,0.9704
mnist,1,1.0,0.3,42,0.1268,0.9708
mnist,1,1.0,0.3,43,0.1235,0.971
mnist,1,1.0,0.3,44,0.1236,0.9712
mnist,1,1.0,0.3,45,0.1215,0.9714
mnist,1,1.0,0.3,46,0.1195,0.972
mnist,1,1.0,0.3,47,0.1203,0.972
mnist,1,1.0,0.3,48,0.1157,0.973
mnist,1,1.0,0.3,49,0.1149,0.9731
mnist,1,1.0,0.3,50,0.1153,0.9734
mnist,1,1.0,0.3,51,0.1175,0.9737
mnist,1,1.0,0.3,52,0.1123,0.9738
mnist,1,1.0,0.3,53,0.1128,0.9742
mnist,1,1.0,0.3,54,0.1093,0.974
mnist,1,1.0,0.3,55,0.1083,0.9742
mnist,1,1.0,0.3,56,0.11,0.9741
mnist,1,1.0,0.3,57,0.1063,0.9743
mnist,1,1.0,0.3,58,0.1075,0.9744
mnist,1,1.0,0.3,59,0.1034,0.9744
mnist,1,1.0,0.3,60,0.1047,0.9745
mnist,1,1.0,0.3,61,0.1042,0.9748
mnist,1,1.0,0.3,62,0.1045,0.9749
mnist,1,1.0,0.3,63,0.1027,0.9749
mnist,1,1.0,0.3,64,0.1007,0.9749
mnist,1,1.0,0.3,65,0.0995,0.9755
mnist,1,1.0,0.3,66,0.0989,0.9756
mnist,1,1.0,0.3,67,0.0982,0.9758
